sample_id	reference_id	reference_fasta	reference_format	reference_notes	reference_contigs	reference_total_bases	read1	read2	total_reads	mapped_reads	mapped_pct	properly_paired	properly_paired_pct	secondary	supplementary	singletons	singletons_pct	mate_diff_chr	idx_mapped_sum	idx_unmapped_sum	contigs_with_mapped_reads	top_mapped_contig	top_mapped_contig_reads
Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7	v_alginolyticus	reference/v_alginolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5146637	trimmomatic/trimmed_reads/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	479036285	84005054	17.54 : N/A	68170332	14.25 : N/A	0	532423	14562837	3.04 : N/A	217318	84005054	395031231	2	NC_022349.1	72882285
Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7	v_ostreicida_PP203	reference/v_ostreicida_PP203_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate idxstats across all contigs.	33	4371716	trimmomatic/trimmed_reads/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	478823924	37546628	7.84 : N/A	27801546	5.81 : N/A	0	320062	8637500	1.81 : N/A	713968	37546628	441277296	31	JABEYA020000002.1	8111104
Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7	v_ostreicida_r172	reference/v_ostreicida_r172_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate idxstats across all contigs.	81	4657173	trimmomatic/trimmed_reads/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	478784938	37558751	7.84 : N/A	27651944	5.78 : N/A	0	281076	8743393	1.83 : N/A	853124	37558751	441226187	72	NZ_JBMDYP010000001.1	3756878
Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7	v_parahaemolyticus	reference/v_parahaemolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5165770	trimmomatic/trimmed_reads/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	479280315	97260599	20.29 : N/A	78372988	16.38 : N/A	0	776453	16751934	3.50 : N/A	206248	97260599	382019716	2	NC_004603.1	81421727
Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7	v_vulnificus	reference/v_vulnificus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5007160	trimmomatic/trimmed_reads/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_BS0607_9_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	481087592	420980208	87.51 : N/A	407991750	85.26 : N/A	0	2583730	3739972	0.78 : N/A	750316	420980208	60107384	2	NZ_CP012881.1	273081984
Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7	v_alginolyticus	reference/v_alginolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5146637	trimmomatic/trimmed_reads/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	361140321	51057404	14.14 : N/A	40633914	11.26 : N/A	0	298403	9745029	2.70 : N/A	81288	51057404	310082917	2	NC_022349.1	39036256
Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7	v_ostreicida_PP203	reference/v_ostreicida_PP203_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate idxstats across all contigs.	33	4371716	trimmomatic/trimmed_reads/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	361011986	20969233	5.81 : N/A	15166482	4.20 : N/A	0	170068	5245635	1.45 : N/A	356812	20969233	340042753	30	JABEYA020000002.1	4036050
Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7	v_ostreicida_r172	reference/v_ostreicida_r172_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate idxstats across all contigs.	81	4657173	trimmomatic/trimmed_reads/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	360992091	21014395	5.82 : N/A	15196576	4.21 : N/A	0	150173	5195662	1.44 : N/A	463012	21014395	339977696	70	NZ_JBMDYP010000001.1	1865552
Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7	v_parahaemolyticus	reference/v_parahaemolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5165770	trimmomatic/trimmed_reads/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	361255251	61757851	17.10 : N/A	49101698	13.61 : N/A	0	413333	11476004	3.18 : N/A	108028	61757851	299497400	2	NC_004603.1	43917369
Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7	v_vulnificus	reference/v_vulnificus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5007160	trimmomatic/trimmed_reads/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_CB0707_82_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	362281252	295519351	81.57 : N/A	284798850	78.93 : N/A	0	1439334	5116957	1.42 : N/A	771218	295519351	66761901	2	NZ_CP012882.1	156035400
Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7	v_alginolyticus	reference/v_alginolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5146637	trimmomatic/trimmed_reads/Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	295971167	129762705	43.84 : N/A	125774746	42.55 : N/A	0	344529	2792218	0.94 : N/A	96842	129762705	166208462	2	NC_022349.1	90156289
Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7	v_ostreicida_PP203	reference/v_ostreicida_PP203_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate idxstats across all contigs.	33	4371716	trimmomatic/trimmed_reads/Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	295733694	14654474	4.96 : N/A	10947810	3.70 : N/A	0	107056	3254444	1.10 : N/A	317548	14654474	281079220	30	JABEYA020000002.1	2826838
Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7	v_ostreicida_r172	reference/v_ostreicida_r172_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate idxstats across all contigs.	81	4657173	trimmomatic/trimmed_reads/Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	295726088	14632483	4.95 : N/A	10885778	3.68 : N/A	0	99450	3232801	1.09 : N/A	401738	14632483	281093605	69	NZ_JBMDYP010000001.1	1411893
Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7	v_parahaemolyticus	reference/v_parahaemolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5165770	trimmomatic/trimmed_reads/Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	295954277	92281331	31.18 : N/A	84065668	28.44 : N/A	0	327639	7384974	2.50 : N/A	101254	92281331	203672946	2	NC_004603.1	65383641
Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7	v_vulnificus	reference/v_vulnificus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5007160	trimmomatic/trimmed_reads/Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_NB0507_14_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	295802578	32133569	10.86 : N/A	26273294	8.89 : N/A	0	175940	5436477	1.84 : N/A	36950	32133569	263669009	2	NZ_CP012881.1	27744443
Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7	v_alginolyticus	reference/v_alginolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5146637	trimmomatic/trimmed_reads/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	330686946	60277475	18.23 : N/A	48096448	14.56 : N/A	0	386012	11114071	3.36 : N/A	133480	60277475	270409471	2	NC_022349.1	51993515
Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7	v_ostreicida_PP203	reference/v_ostreicida_PP203_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate idxstats across all contigs.	33	4371716	trimmomatic/trimmed_reads/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	330512396	26632144	8.06 : N/A	19592746	5.93 : N/A	0	211462	6272482	1.90 : N/A	513804	26632144	303880252	31	JABEYA020000002.1	5542591
Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7	v_ostreicida_r172	reference/v_ostreicida_r172_ref.fasta	draft_multicontig_wgs	Draft assembly with multiple contigs; aggregate idxstats across all contigs.	81	4657173	trimmomatic/trimmed_reads/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	330487825	26796660	8.11 : N/A	19597428	5.93 : N/A	0	186891	6362373	1.93 : N/A	633998	26796660	303691165	72	NZ_JBMDYP010000001.1	2660968
Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7	v_parahaemolyticus	reference/v_parahaemolyticus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5165770	trimmomatic/trimmed_reads/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	330787972	70671792	21.36 : N/A	56391412	17.07 : N/A	0	487038	12695246	3.84 : N/A	106390	70671792	260116180	2	NC_004603.1	58901193
Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7	v_vulnificus	reference/v_vulnificus_ref.fasta	complete_two_chromosome	Closed reference with two primary contigs.	2	5007160	trimmomatic/trimmed_reads/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7_1_paired.fq.gz	trimmomatic/trimmed_reads/Buck_NB0507_8_WKDL250009588-1A_233TFCLT4_L7_2_paired.fq.gz	331615646	292219317	88.12 : N/A	281148402	85.12 : N/A	0	1314712	4196353	1.27 : N/A	1154414	292219317	39396329	2	NZ_CP012881.1	190073241
